found/posted,applied,job apps,interview,salar,title,stack,link,site
n/a,2-21-23,check point,,120 max incl bonus,,elixir,https://careers.checkpoint.com/index.php?m=cpcareers&a=show&joborderid=18025&source=104&mode=clear,"  "
n/a,2-21-23,colife,,,,elixir,https://fromcommunity.com/jobs/145,
n/a,2/25/23,sleeper,,,backend,"elixir
scylladb",https://jobs.ashbyhq.com/sleeper/8d6201d4-bcb1-42ec-8583-75d8c5e9bab1,"SF, LA, Seattle, NYC"
n/a,"2/26/23 ",pagerduty,,,,elixir,,
n/a,2-24-23,teller,,,,elixir,,
n/a,2/25/23,workable,,,,elixir,https://apply.workable.com/smartlogic/j/A57C1DD2C8/,
n/a,2/26/23,stord,reject 3/1/23,,,elixir,,
n/a,2-23-23,thescore,,,,elixir,,
n/a,,humanly,,,,elixir,,
n/a,2/27/23,thescore,,,se,elixir,,
n/a,2/27/23,podium,,,,elixir,,
n/a,2/27/23,motion recruitment,,,,elixir,,
n/a,2/27/23,hacera-mipasa,,,,elixir,,
n/a,2/27/23,ianuly,,,,elixir,,
n/a,,simplebet,,,,elixir,,
n/a,,metabase,,,,clojure,,
3/11/23,,nightwatch,,,,elixir,https://nightwatch.io/jobs/backend-developer,
3/11/23,,greg medland,,,,elixir,,
3/11/23,,acuity brands (henry is connect),,,,java fml,https://careers.acuitybrands.com/job/Conyers-Senior-Full-Stack-Engineer-GA-30012/999253900/,